title,price,stock_id,navigationUrl,images,imageCount,sourceUrl,createdAt,variant,registrationYear,mileage,transmission,branch,seats,doors,bodyType,color,serviceHistory,fuelConsumption,engineSize,fuelType,fuelTank,kilowatts,gears,drive,scrapedAt,scrapedDate
2021 Toyota Hilux 2.0 Vvti S Pick Up Single Cab,R 283 900,C11A07001,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-20-Vvti-S-Pick-Up-Single-Cab/C11A07001,"['https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700115.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700126.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070010.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070016.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700114.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700112.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070017.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700119.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700116.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700117.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700124.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070018.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070019.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A0700118.webp', 'https://photos.webuycars.co.za/photobooth/C11A07001/Thumbnails/C11A070015.webp']",15,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:56.843554Z,2.0 Vvti S Pick Up Single Cab,2021,47 885 KM,Manual,Springfield (KZN),2,2,Single Cab,White,Partial but Up to Date,9.05 l/100km,1998 cc,Petrol,80 l,102 kW,5,R,2026-05-11T20:20:20.423180Z,11-05-26
2022 Toyota Hilux 2.4 GD S A/C Pick Up Single Cab,R 303 900,146B05107,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-24-GD-S-A-C-Pick-Up-Single-Cab/146B05107,"['https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510715.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051078.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510718.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510712.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051076.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051077.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051079.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510719.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510724.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051070.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510726.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510714.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510716.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B0510717.webp', 'https://photos.webuycars.co.za/photobooth/146B05107/Thumbnails/146B051075.webp']",15,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:57.179871Z,2.4 GD S A/C Pick Up Single Cab,2022,76 100 KM,Manual,Montana (GP),2,2,Single Cab,White,"Complete, Up To Date",6.7 l/100km,2393 cc,Diesel,80 l,110 kW,5,R,2026-05-11T20:20:25.022499Z,11-05-26
2017 Toyota Hilux 2.0 Vvti A/C Pick Up Single Cab,R 223 000,FE4A03624,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-20-Vvti-A-C-Pick-Up-Single-Cab/FE4A03624,"['https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362426.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036245.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036246.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036249.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362424.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036247.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362418.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362416.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362417.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362415.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036240.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362414.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A036248.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362412.webp', 'https://photos.webuycars.co.za/photobooth/FE4A03624/Thumbnails/FE4A0362419.webp']",15,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:57.447002Z,2.0 Vvti A/C Pick Up Single Cab,2017,99 290 KM,Manual,Pietermaritzburg (KZN),2,2,Single Cab,White,Partial but Up to Date,9.24 l/100km,1998 cc,Petrol,80 l,102 kW,5,R,2026-05-11T20:20:30.672992Z,11-05-26
2017 Toyota Hilux 2.8 Gd-6 RB Raider Pick Up E/cab,R 309 900,8AD912036,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-28-Gd-6-RB-Raider-Pick-Up-E-cab/8AD912036,"['https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203615.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203618.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120368.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203612.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203624.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120360.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203621.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203616.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120367.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203619.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120366.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120369.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD9120365.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203617.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203614.webp', 'https://photos.webuycars.co.za/photobooth/8AD912036/Thumbnails/8AD91203626.webp']",16,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:57.848989Z,2.8 Gd-6 RB Raider Pick Up E/cab,2017,168 252 KM,Manual,Polokwane (L),2,2,Single Cab,White,Partial,7.58 l/100km,2755 cc,Diesel,80 l,130 kW,6,R,2026-05-11T20:20:35.399365Z,11-05-26
2021 Toyota Hilux 2.4 Gd-6 RB Raider Pick Up Single Cab,R 319 900,92BD15362,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-24-Gd-6-RB-Raider-Pick-Up-Single-Cab/92BD15362,"['https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536216.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD153627.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536221.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536226.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD153625.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536219.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536224.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536218.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD153629.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD153626.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536215.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536217.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536214.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD153620.webp', 'https://photos.webuycars.co.za/photobooth/92BD15362/Thumbnails/92BD1536212.webp']",15,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:58.238688Z,2.4 Gd-6 RB Raider Pick Up Single Cab,2021,197 200 KM,Manual,Richmond (WC),2,2,Single Cab,White,"Complete, Up To Date",7.33 l/100km,2393 cc,Diesel,80 l,110 kW,6,R,2026-05-11T20:20:40.298699Z,11-05-26
2017 Toyota Hilux 2.8 Gd-6 RB Raider Pick Up E/cab,R 299 900,79AA12231,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-28-Gd-6-RB-Raider-Pick-Up-E-cab/79AA12231,"['https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223119.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122319.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223112.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223117.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122316.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122318.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223114.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122310.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122317.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223126.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223115.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223116.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA1223118.webp', 'https://photos.webuycars.co.za/photobooth/79AA12231/Thumbnails/79AA122315.webp']",14,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:58.516797Z,2.8 Gd-6 RB Raider Pick Up E/cab,2017,199 571 KM,Manual,JHB South (GP),2,2,Single Cab,Silver,"Complete, Up To Date",7.58 l/100km,2755 cc,Diesel,80 l,130 kW,6,R,2026-05-11T20:20:45.149982Z,11-05-26
2020 Toyota Hilux 2.4 Gd-6 RB SRX Pick Up Single Cab,R 282 900,B6D301211,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-24-Gd-6-RB-SRX-Pick-Up-Single-Cab/B6D301211,"['https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012119.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121116.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012115.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012116.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121117.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121126.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121114.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121115.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012110.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D30121112.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012117.webp', 'https://photos.webuycars.co.za/photobooth/B6D301211/Thumbnails/B6D3012118.webp']",12,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:58.762131Z,2.4 Gd-6 RB SRX Pick Up Single Cab,2020,232 481 KM,Manual,Riverhorse (KZN),2,2,Single Cab,White,Partial,7.13 l/100km,2393 cc,Diesel,80 l,110 kW,6,R,2026-05-11T20:20:49.732439Z,11-05-26
2019 Toyota Hilux 2.4 Gd-6 RB SRX Pick Up E/cab,R 282 000,389500427,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-24-Gd-6-RB-SRX-Pick-Up-E-cab/389500427,"['https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042724.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042714.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004278.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004279.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042717.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004276.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004270.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042716.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042712.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042726.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042715.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042718.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004275.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/3895004277.webp', 'https://photos.webuycars.co.za/photobooth/389500427/Thumbnails/38950042719.webp']",15,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:59.171626Z,2.4 Gd-6 RB SRX Pick Up E/cab,2019,163 128 KM,Manual,Springfield (KZN),2,2,Single Cab,White,"Complete, Up To Date",7.13 l/100km,2393 cc,Diesel,80 l,110 kW,6,R,2026-05-11T20:20:54.189655Z,11-05-26
2019 Toyota Hilux 2.4 Gd-6 RB SRX Pick Up Single Cab,R 258 900,323606414,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-24-Gd-6-RB-SRX-Pick-Up-Single-Cab/323606414,"['https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641415.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064145.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641420.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064146.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064140.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641412.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641417.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641424.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064148.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641414.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641418.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641419.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641426.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064147.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/32360641416.webp', 'https://photos.webuycars.co.za/photobooth/323606414/Thumbnails/3236064149.webp']",16,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:19:59.455387Z,2.4 Gd-6 RB SRX Pick Up Single Cab,2019,225 741 KM,Manual,Silver Lakes (GP),2,2,Single Cab,White,Partial,7.13 l/100km,2393 cc,Diesel,80 l,110 kW,6,R,2026-05-11T20:21:00.277785Z,11-05-26
2021 Toyota Hilux 2.0 Vvti A/C Pick Up Single Cab,R 293 900,DC6709265,https://www.webuycars.co.za/buy-a-car/Toyota/Hilux-20-Vvti-A-C-Pick-Up-Single-Cab/DC6709265,"['https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926526.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926519.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092658.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926518.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926527.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926514.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926520.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926516.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926517.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092656.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926515.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092655.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC670926512.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092650.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092657.webp', 'https://photos.webuycars.co.za/photobooth/DC6709265/Thumbnails/DC67092659.webp']",16,"https://www.webuycars.co.za/buy-a-car?q=%22Toyota%20Hilux%20%22&Year=[2017,2026]&Year_Gte=%222017%22",2026-05-11T20:20:00.117342Z,2.0 Vvti A/C Pick Up Single Cab,2021,62 522 KM,Manual,Germiston (GP),2,2,Single Cab,White,Partial but Up to Date,9.05 l/100km,1998 cc,Petrol,80 l,102 kW,5,R,2026-05-11T20:21:05.459752Z,11-05-26
